species, x coord, y coord
American Beech, 48, 12
American Beech, 64, 13
American Beech, 71, 54
American Beech, 96, 196
American Beech, 122, 320
American Beech, 160, 324
American Beech, 165, 318
American Beech, 167, 326
American Beech, 168, 319
American Beech, 171, 391
American Beech, 171, 319
American Beech, 176, 332
American Beech, 178, 357
American Beech, 178, 338
American Beech, 182, 322
American Beech, 187, 329
American Beech, 188, 330
American Beech, 188, 384
American Beech, 188, 250
American Beech, 189, 321
American Beech, 190, 342
American Beech, 191, 327
American Beech, 193, 307
American Beech, 193, 329
American Beech, 196, 329
American Beech, 199, 297
American Beech, 199, 291
American Beech, 201, 258
American Beech, 199, 83
American Beech, 202, 385
American Beech, 209, 351
American Beech, 209, 217
American Beech, 216, 109
American Beech, 220, 247
American Beech, 227, 342
American Beech, 230, 324
American Beech, 230, 285
American Beech, 230, 186
American Beech, 230, 256
American Beech, 235, 367
American Beech, 236, 195
American Beech, 236, 203
American Beech, 236, 210
American Beech, 238, 312
American Beech, 243, 260
American Beech, 250, 272
American Beech, 252, 270
American Beech, 253, 251
American Beech, 257, 332
American Beech, 263, 214
American Beech, 264, 286
American Beech, 265, 214
American Beech, 266, 263
American Beech, 268, 211
American Beech, 268, 71
American Beech, 269, 66
American Beech, 272, 64
American Beech, 278, 114
American Beech, 344, 144
American Beech, 346, 138
